term,sourceLabel,label,definition,sourceURL,sourceFile
IAU_PANDORA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PASIPHAE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PATROCLUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PHOBOS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PHOEBE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PLUTO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PLUTO,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_POLYMELE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PORTIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PRAXIDIKE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PROMETHEUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PROTEUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_PUCK,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_QUETA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_RHEA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_ROSALIND,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_RYUGU,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_SATURN,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_SATURN,CDPP_AMDA_request,"","This system is analogous to the geographic (longitude and latitude) system used at the Earth and rotates with Saturn at the official IAU rotation period. This coordinate system should always be used with respect to the official epoch and rotation rate (as defined by the IAU)","https://groups.io/g/spase/topic/99146959","documents/CDPP_AMDA_request-2023-05.csv"
IAU_SATURN,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_SINOPE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_STEINS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_SUN,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_SUN,CDPP_AMDA_request,"This system is analogous to the geographic (longitude and latitude) system used at the Earth and rotates with the Sun at the official IAU rotation period. This coordinate system should always be used with respect to the official epoch and rotation rate (as defined by the IAU)"," with X pointing along the Sun Prime Meridian as defined by the IAU","https://groups.io/g/spase/topic/99146959","documents/CDPP_AMDA_request-2023-05.csv"
IAU_SUN,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_TAYGETE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TELESTO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TEMPEL_1,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TETHYS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_THALASSA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_THEBE,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_THEMISTO,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TITAN,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TITANIA,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_TRITON,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_UMBRIEL,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_URANUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_URANUS,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_VENUS,SPICE_Built_In_PCK_Body_Fixed,"","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Appendix.%20%60%60Built%20in''%20PCK-Based%20IAU%20Body-Fixed%20Reference%20Frames","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
IAU_VENUS,TREPS_frames,"Body-Fixed Frame","Archinal, B.A., Acton, C.H., A’Hearn, M.F. et al. Report of the IAU Working Group on Cartographic Coordinates and Rotational Elements: 2015.
			Celest Mech Dyn Astr 130, 22 (2018). https://doi.org/10.1007/s10569-017-9805-5","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
IAU_VESTA,SPICE_Built_In_PCK_Body_Fixed,"","","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html","software/SPICE_Built_In_PCK_Body_Fixed-2023.csv"
ICRS,AstroPy,"ICRS","A coordinate or frame in the ICRS system.\n\nIf you’re looking for “J2000” coordinates, and aren’t sure if you want to use this or FK5, you probably want to use ICRS. It’s more well-defined as a catalog coordinate and is an inertial system, and is very close (within tens of milliarcseconds) to J2000 equatorial.\n\nFor more background on the ICRS and related coordinate transformations, see the references provided in the See Also section of the documentation.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
ICRS,IVOA_STCT,"International Celestial Reference System","Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
ICRS,IVOA_refframe,"2","ICRS","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
IPHIO,TREPS_frames,"Io Phi-Omega","In those Cartesian coordinate system (referred to as MphiO - M is Moon prefix -),
X is along the flow direction, Y is along the Moon-Jupiter vector, and Z is along the spin axis.
These coordinates are analogous to the earth-centered GSE coordinates that relate to the direction of
flow of the solar wind onto Earth's environment","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
J2000,PySPEDAS,"","","https://github.com/spedas/pyspedas/blob/master/pyspedas/cotrans/cotrans_lib.py","software/PySPEDAS-2023.csv"
J2000,SPASE,"J2000","An astronomical coordinate system which uses the mean equator and equinox of Julian date 2451545.0 TT (Terrestrial Time), or January 1, 2000, noon TT. (aka J2000) to define a celestial reference frame.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
J2000,TREPS_frames,"Earth mean equator, dynamical equinox of J2000","None","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
J2000,SPICE_Built_In_Inertial,"Earth Mean Equator and Equinox","Earth mean equator, dynamical equinox of J2000. The root reference frame for SPICE.","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
JECLIP,TREPS_frames,"ECLIPJ2000 centered on Jupiter","The value for the obliquity of the
                      ecliptic at J2000 is taken from 
                      of 'Explanatory Supplement to the Astronomical Almanac'
						edited by P. Kenneth Seidelmann. University Science
						Books, 20 Edgehill Road, Mill Valley, CA 94941 (1992)
					  page 114 equation 3.222-1","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
JEME,TREPS_frames,"J2000 centered on Jupiter","Earth mean equator, dynamical equinox of J2000 centered on Jupiter.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
JSM,SPASE,"Jovian Solar Magnetospheric","Jovian Solar Magnetospheric - A coordinate system related to Jupiter where the X axis is from Jupiter to Sun, Z axis is northward in a plane containing the X axis and the Jovian dipole axis.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
JSM,TREPS_frames,"Jovian Solar Magnetospheric","The JSM frame is defined as follows:

      Jovian Solar Magnetospheric (JSM)
      ---------------------------------------------------
      A coordinate system where the X axis is from Jupiter to Sun,
      Z axis is northward in a plane containing the X axis and the Jovian dipole axis.

   Dipole is 159 longitude and 80 latitude.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
JSO,SPASE,"Jovian Solar Orbital","Jovian Solar Orbital - A coordinate system related to Jupiter where X anti-sunward, Y along the orbital velocity direction.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
JSO,TREPS_frames,"Jovian Solar Orbital","The Jupiter Solar Orbital frame is defined as follows:

      -  The position of the Sun relative to Jupiter is the primary vector:
         +X axis points from Jupiter to the Sun;

      -  The inertially referenced velocity of the Sun relative to Jupiter
         is the secondary vector: +Y axis is the component of this
         velocity vector orthogonal to the +X axis;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Jupiter center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
JUPITER_C_III,IVOA_STCT,"Planetocentric coordinates on Jupiter, system III","See Explanatory Supplement, Section 7.4","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
JUPITER_G_III,IVOA_STCT,"Planetographic coordinates on Jupiter, system III","See Explanatory Supplement, Section 7.4
Left-handed","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
KECLIP,TREPS_frames,"ECLIPJ2000 centered on Saturn","The value for the obliquity of the
                      ecliptic at J2000 is taken from 
                      of 'Explanatory Supplement to the Astronomical Almanac'
						edited by P. Kenneth Seidelmann. University Science
						Books, 20 Edgehill Road, Mill Valley, CA 94941 (1992)
					  page 114 equation 3.222-1","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
KEME,TREPS_frames,"J2000 centered on Saturn","Earth mean equator, dynamical equinox of J2000 centered on Saturn.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
KRTP​,CDPP_AMDA_request,"Kronocentric body-fixed"," J2000 spherical Coordinates - standard right-handed spherical triad (R","https://groups.io/g/spase/topic/99146959","documents/CDPP_AMDA_request-2023-05.csv"
KSM,SPASE,"Kronian Solar Magnetospheric","Kronian Solar Magnetospheric - A coordinate system related to Saturn where the X axis is anti-sunward, Z axis is northward in a plane containing the X axis and the Kronian dipole axis.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
KSM,TREPS_frames,"Kronian Solar Magnetospheric","The KSM frame is defined as follows:

      Kronocentric Solar Magnetospheric Coordinates (KSM)
      ---------------------------------------------------
      A coordinate system where the X axis is from Saturn to Sun,
      Z axis is northward in a plane containing the X axis and the
      Kronian dipole axis.

   Some sources refers magnetic dipole at 180 degrees longitude, 89.99 degrees latitude
   in the IAU_SATURN frame. Other source make assume that the dipole axis is 
   parallel to the spin axis.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
KSO,SPASE,"Kronian Solar Orbital","Kronian Solar Orbital - A coordinate system related to Saturn where X is anti-sunward, Y along the orbital velocity direction.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
KSO,TREPS_frames,"Kronian Solar Orbital","The Saturn Solar Orbital frame is defined as follows:

      -  The position of the Sun relative to Saturn is the primary vector:
         +X axis points from Saturn to the Sun;

      -  The inertially referenced velocity of the Sun relative to Saturn
         is the secondary vector: +Y axis is the component of this
         velocity vector orthogonal to the +X axis;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Saturn center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
LGM,SPASE,"Local Geomagnetic","Local Geomagnetic - A coordinate system used mainly for Earth surface or near Earth surface magnetic field data. X axis northward from observation point in a geographic meridian. Z axis downward towards Earths center. In this system, H (total horizontal component) = SQRT (Bx^2 + By^2) and D (declination angle) = arctan (By/Bx)","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
LME,TREPS_frames,"Moon Mean Equator","The Moon Mean Equator of Date frame (also known as Moon Mean Equator
   and IAU vector of Date frame) is defined as follows :

      -  X-Y plane is defined by the Moon equator of date, and the
         +Z axis, primary vector of this frame, is parallel to the
         Moon's rotation axis of date, pointing toward the North side
         of the invariant plane;

      -  +X axis is defined by the intersection of the Moon's equator
         of date with the Earth Mean Equator of J2000;

      -  +Y axis completes the right-handed system;

      -  the origin of this frame is Moon's center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
LSE,TREPS_frames,"Selenocentric Solar Ecliptic","The Moon-centric Solar Ecliptic frame is defined as follows:

      -  The position of the Sun relative to Moon is the primary vector:
         +X axis points from Moon to the Sun;
 
      -  The inertially referenced velocity of the Sun relative to Moon
         is the secondary vector: +Y axis is the component of this
         velocity vector orthogonal to the +X axis;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Moon's center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
LSR,AstroPy,"Local Standard of Rest","A coordinate or frame in the Local Standard of Rest (LSR).\n\nThis coordinate frame is axis-aligned and co-spatial with ICRS, but has a velocity offset relative to the solar system barycenter to remove the peculiar motion of the sun relative to the LSR. Roughly, the LSR is the mean velocity of the stars in the solar neighborhood, but the precise definition of which depends on the study. As defined in Schönrich et al. (2010): “The LSR is the rest frame at the location of the Sun of a star that would be on a circular orbit in the gravitational potential one would obtain by azimuthally averaging away non-axisymmetric features in the actual Galactic potential.” No such orbit truly exists, but it is still a commonly used velocity frame.\n\nWe use default values from Schönrich et al. (2010) for the barycentric velocity relative to the LSR, which is defined in Galactic (right-handed) cartesian velocity components. These values are customizable via the v_bary argument which specifies the velocity of the solar system barycenter with respect to the LSR.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
LSRD,AstroPy,"Dynamical Local Standard of Rest","A coordinate or frame in the Dynamical Local Standard of Rest (LSRD).\n\nThis frame is defined as a velocity of U=9 km/s, V=12 km/s, and W=7 km/s in Galactic coordinates or 16.552945 km/s towards l=53.13 b=25.02. This is defined in:\n\nDelhaye 1965, Solar Motion and Velocity Distribution of Common Stars.\n\nThis coordinate frame is axis-aligned and co-spatial with ICRS, but has a velocity offset relative to the solar system barycenter to remove the peculiar motion of the sun relative to the LSRD.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
LSRK,AstroPy,"Kinematic Local Standard of Rest","A coordinate or frame in the Kinematic Local Standard of Rest (LSR).\n\nThis frame is defined as having a velocity of 20 km/s towards RA=270 Dec=30 (B1900) relative to the solar system Barycenter. This is defined in:\n\nGordon 1975, Methods of Experimental Physics: Volume 12: Astrophysics, Part C: Radio Observations - Section 6.1.5.\n\nThis coordinate frame is axis-aligned and co-spatial with ICRS, but has a velocity offset relative to the solar system barycenter to remove the peculiar motion of the sun relative to the LSRK.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
LUNA_C,IVOA_STCT,"Selenocentric coordinates","See Explanatory Supplement, Section 7.3","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
LUNA_G,IVOA_STCT,"Selenographic coordinates","See Explanatory Supplement, Section 7.3","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
LUTETIA_CSO,TREPS_frames,"Comet solar orbital  centered on asteroid LUTETIA","Comet frames are defined as a two-vector style dynamic frames as follows:
 
      -  The position of the sun relative to the comet is the primary
         vector: the X axis points from the comet to the sun.

      -  The inertially referenced velocity of the sun relative to the
         comet is the secondary vector: the Y axis is the component of
         this velocity vector orthogonal to the X axis.

      -  The Z axis is X cross Y, completing the right-handed reference
         frame.

      -  All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
LUTETIA_EME,TREPS_frames,"J2000 centered on asteroid LUTETIA","Earth mean equator, dynamical equinox of J2000 centered on LUTETIA.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
